id,target
0,0.03192
1,0.03864
2,0.03482
3,0.03002
4,0.02965
5,0.03081
6,0.03663
8,0.03244
10,0.04480
11,0.03242
12,0.03239
14,0.03065
15,0.04028
18,0.03681
21,0.03928
23,0.04076
24,0.03561
25,0.03824
27,0.04707
29,0.03571
30,0.03556
31,0.03701
32,0.04279
33,0.03816
37,0.03084
38,0.03387
39,0.04726
40,0.03388
41,0.03692
42,0.03379
44,0.03179
45,0.03502
47,0.03281
49,0.03023
51,0.03570
52,0.03207
53,0.03682
54,0.04769
55,0.03424
56,0.03612
57,0.04614
59,0.04428
60,0.03812
62,0.03064
63,0.05278
67,0.04046
68,0.02880
69,0.04826
70,0.03579
71,0.03973
73,0.03726
75,0.03744
76,0.03155
81,0.02855
82,0.03743
83,0.03279
86,0.03235
87,0.03730
88,0.03344
91,0.03962
92,0.03562
94,0.03121
97,0.03661
100,0.03771
102,0.03628
103,0.03294
105,0.03612
106,0.04522
108,0.03747
113,0.04743
114,0.03735
115,0.03500
118,0.04127
122,0.02970
124,0.03299
126,0.03306
128,0.03663
129,0.03830
130,0.04215
131,0.04501
132,0.04463
133,0.02964
134,0.04553
135,0.04107
136,0.03214
139,0.03274
140,0.03629
141,0.03989
146,0.03270
148,0.03672
151,0.03024
152,0.04181
154,0.03230
157,0.03474
158,0.02919
159,0.04450
161,0.03499
164,0.03571
165,0.04601
167,0.03581
168,0.03876
169,0.03760
171,0.03537
172,0.04406
173,0.03017
174,0.03676
175,0.03823
176,0.04078
178,0.03635
179,0.03235
180,0.03048
181,0.02739
182,0.03971
183,0.03878
184,0.04548
185,0.03458
187,0.02953
188,0.03331
190,0.03443
191,0.03553
192,0.05382
195,0.03573
196,0.03889
198,0.03948
201,0.03293
202,0.03462
203,0.03272
204,0.03121
207,0.03411
213,0.04445
219,0.03161
220,0.03746
222,0.04148
226,0.03277
228,0.04765
230,0.03843
231,0.03398
232,0.03886
233,0.03753
234,0.02829
236,0.04064
237,0.03570
238,0.04458
240,0.03699
241,0.02989
242,0.03799
243,0.03664
245,0.03731
246,0.05006
247,0.03311
249,0.05200
250,0.03809
251,0.03001
252,0.04059
253,0.03081
