id,target
0,0.02092
1,0.04354
2,0.03337
3,0.02956
4,0.02229
5,0.04106
6,0.04076
8,0.01971
10,0.08338
11,0.03549
12,0.02658
14,0.01783
15,0.05786
18,0.03153
21,0.04824
23,0.04629
24,0.02395
25,0.03778
27,0.06688
29,0.05230
30,0.02405
31,0.06895
32,0.05552
33,0.04238
37,0.03275
38,0.03361
39,0.06387
40,0.03604
41,0.04198
42,0.02137
44,0.03166
45,0.03546
47,0.07012
49,0.02152
51,0.02921
52,0.02335
53,0.03613
54,0.08758
55,0.02021
56,0.02590
57,0.08173
59,0.05670
60,0.05100
62,0.02824
63,0.06708
67,0.03476
68,0.01456
69,0.07246
70,0.03621
71,0.04717
73,0.03986
75,0.02364
76,0.02331
81,0.02531
82,0.03138
83,0.02505
86,0.04107
87,0.03787
88,0.03325
91,0.04647
92,0.03936
94,0.02295
97,0.03299
100,0.02715
102,0.03449
103,0.02673
105,0.03248
106,0.04363
108,0.03766
113,0.05925
114,0.02358
115,0.04085
118,0.06918
122,0.02425
124,0.04457
126,0.03694
128,0.04421
129,0.05954
130,0.05357
131,0.05355
132,0.07763
133,0.02283
134,0.05289
135,0.04762
136,0.02401
139,0.02112
140,0.03993
141,0.08001
146,0.02434
148,0.04747
151,0.01809
152,0.04223
154,0.02182
157,0.03000
158,0.02038
159,0.05727
161,0.03546
164,0.03665
165,0.06149
167,0.02676
168,0.05379
169,0.02867
171,0.02721
172,0.08984
173,0.02610
174,0.04446
175,0.04472
176,0.03881
178,0.04397
179,0.03124
180,0.02443
181,0.02189
182,0.05094
183,0.05367
184,0.03672
185,0.04021
187,0.02655
188,0.02641
190,0.02084
191,0.02735
192,0.07442
195,0.03955
196,0.03203
198,0.04213
201,0.03283
202,0.03825
203,0.02020
204,0.01878
207,0.03005
213,0.03236
219,0.02373
220,0.02484
222,0.08193
226,0.02591
228,0.05423
230,0.04017
231,0.02599
232,0.03471
233,0.03919
234,0.02384
236,0.04976
237,0.03141
238,0.07381
240,0.02686
241,0.01880
242,0.04602
243,0.05769
245,0.04087
246,0.07566
247,0.02568
249,0.09550
250,0.02916
251,0.01656
252,0.04307
253,0.02911
254,0.06076
255,0.05702
256,0.02334
257,0.02470
258,0.02402
259,0.06744
260,0.01985
262,0.02139
267,0.02251
268,0.02708
270,0.02093
272,0.03170
273,0.02094
274,0.04473
275,0.02866
276,0.02534
277,0.02933
278,0.05539
279,0.03128
281,0.02812
282,0.04000
283,0.02747
287,0.03624
288,0.04434
289,0.03483
290,0.02293
291,0.03534
292,0.07526
293,0.03678
294,0.02406
295,0.02244
296,0.09428
297,0.02969
298,0.03072
299,0.04067
300,0.03644
303,0.05601
304,0.04611
308,0.01720
314,0.04338
315,0.03976
317,0.03016
318,0.05617
320,0.07588
322,0.04867
323,0.03144
327,0.06232
329,0.04252
331,0.01787
332,0.08996
333,0.06367
334,0.01697
335,0.02184
336,0.03992
337,0.03296
341,0.03136
343,0.02646
345,0.04091
347,0.02560
348,0.03949
349,0.02812
352,0.03037
353,0.01705
354,0.04859
355,0.03929
356,0.03552
357,0.02888
358,0.03397
359,0.03810
361,0.05138
362,0.02438
365,0.04303
366,0.06242
368,0.03632
369,0.01866
371,0.02683
373,0.04047
376,0.06775
377,0.03537
379,0.06119
381,0.02461
382,0.02938
383,0.02123
384,0.06218
385,0.04179
386,0.02967
387,0.02860
388,0.06823
390,0.03096
391,0.02971
392,0.07962
393,0.03733
394,0.03173
396,0.03324
400,0.03365
402,0.06458
403,0.02995
405,0.03319
407,0.04271
409,0.06060
411,0.01880
412,0.02050
414,0.08926
415,0.02866
416,0.02364
418,0.03444
419,0.02531
421,0.02195
422,0.15954
423,0.04201
424,0.04356
426,0.02993
427,0.05321
428,0.04160
436,0.03025
438,0.02708
442,0.03453
443,0.03076
445,0.03708
446,0.03147
447,0.03086
450,0.03958
452,0.02434
453,0.02878
455,0.03152
458,0.06902
459,0.01519
461,0.03079
463,0.01775
467,0.05317
470,0.03426
471,0.02160
472,0.05676
476,0.04685
477,0.03220
481,0.03335
482,0.06736
483,0.06392
485,0.03355
487,0.02635
488,0.02469
490,0.04045
492,0.02811
494,0.06233
497,0.06592
499,0.02889
500,0.05475
501,0.03002
503,0.03520
505,0.02881
506,0.06495
507,0.03837
509,0.05184
510,0.03062
511,0.03814
512,0.02142
514,0.03100
515,0.02580
516,0.03800
517,0.08177
519,0.05460
520,0.05670
521,0.02215
522,0.04219
523,0.04095
527,0.05029
530,0.04489
532,0.03742
534,0.02910
536,0.04989
539,0.03376
543,0.02222
547,0.04459
550,0.03518
551,0.05551
552,0.02236
553,0.10685
555,0.02409
556,0.03172
557,0.02034
558,0.04269
559,0.02583
560,0.03561
561,0.02895
565,0.03963
566,0.02709
567,0.02541
571,0.02526
572,0.03131
574,0.02120
575,0.01635
576,0.04774
577,0.06620
578,0.02666
579,0.02652
581,0.02924
587,0.02061
589,0.02888
590,0.07171
591,0.02749
592,0.05395
593,0.02168
594,0.04976
595,0.07110
596,0.01872
597,0.03890
598,0.06504
600,0.02068
602,0.02509
605,0.02640
606,0.03356
607,0.02183
612,0.01837
613,0.02524
614,0.02348
615,0.02895
616,0.02639
617,0.03143
618,0.07326
620,0.02418
621,0.02309
622,0.03179
623,0.04331
628,0.02606
631,0.02549
632,0.01850
633,0.03923
634,0.04810
635,0.04315
637,0.04959
638,0.09220
640,0.04730
643,0.03176
644,0.09177
645,0.04349
646,0.02924
649,0.03965
651,0.05064
653,0.02189
654,0.04090
655,0.05972
656,0.05021
658,0.05583
659,0.02224
661,0.05161
662,0.04261
663,0.05403
664,0.10846
665,0.04558
667,0.02464
668,0.06663
671,0.04063
673,0.05277
674,0.04628
675,0.01591
676,0.04581
677,0.03062
678,0.02279
679,0.05480
680,0.06318
681,0.04983
682,0.03418
683,0.02721
684,0.02059
686,0.05004
687,0.03477
688,0.06298
690,0.02140
691,0.04385
692,0.04348
693,0.03557
694,0.03673
695,0.02261
696,0.02902
698,0.04790
699,0.02962
702,0.03243
703,0.02105
705,0.04967
706,0.03647
707,0.02533
708,0.02438
709,0.07286
710,0.07960
713,0.03570
714,0.02442
715,0.05318
716,0.09953
717,0.05879
718,0.04248
719,0.02464
720,0.04043
721,0.02447
723,0.02706
724,0.06589
726,0.02941
728,0.08528
730,0.03195
732,0.03189
734,0.03007
735,0.02976
737,0.03593
738,0.03004
741,0.04062
742,0.02025
743,0.02674
746,0.02586
747,0.04031
749,0.02763
750,0.04215
752,0.02947
755,0.03811
757,0.02040
758,0.03019
759,0.02016
765,0.03055
766,0.01544
767,0.09410
768,0.02935
769,0.05342
770,0.02610
771,0.03833
772,0.02134
773,0.06477
775,0.03902
776,0.04380
778,0.02414
779,0.03134
780,0.05083
782,0.03205
783,0.04621
784,0.03591
785,0.01869
786,0.02920
788,0.07123
789,0.01440
792,0.05306
793,0.01522
794,0.04368
797,0.05178
798,0.02943
799,0.06661
800,0.04341
801,0.04170
802,0.05938
805,0.02046
807,0.02808
808,0.01966
811,0.02190
813,0.02765
814,0.04712
815,0.05454
816,0.06063
817,0.02491
819,0.02234
821,0.01493
823,0.03170
825,0.06619
826,0.01958
827,0.02645
828,0.01786
830,0.04160
831,0.05790
833,0.03051
834,0.08854
835,0.05639
836,0.03034
837,0.05662
838,0.08500
840,0.02491
842,0.02591
844,0.04168
845,0.07993
847,0.04355
848,0.04227
850,0.02738
851,0.03398
852,0.04816
853,0.08305
855,0.02836
856,0.05231
857,0.03150
859,0.04246
860,0.06227
862,0.03175
863,0.04217
864,0.03147
867,0.05203
868,0.02773
869,0.02395
871,0.02277
873,0.04566
875,0.02975
876,0.05044
877,0.03909
879,0.09953
880,0.08942
883,0.02808
884,0.02646
885,0.04056
886,0.01859
887,0.02790
888,0.02081
891,0.04184
893,0.02282
895,0.10516
897,0.02841
898,0.10323
901,0.03074
902,0.02323
904,0.07204
905,0.02315
907,0.04419
908,0.03089
909,0.02555
910,0.03191
911,0.01921
913,0.02743
914,0.03028
915,0.05803
916,0.02524
917,0.05319
919,0.02078
920,0.02495
923,0.01659
924,0.03271
925,0.04666
926,0.03699
928,0.04070
929,0.01966
932,0.02702
935,0.04289
936,0.05486
937,0.03356
938,0.02807
939,0.01974
940,0.03577
941,0.02640
944,0.03411
945,0.01485
946,0.04218
947,0.02662
949,0.04142
950,0.03160
952,0.02652
953,0.05024
955,0.02204
956,0.03525
957,0.02795
960,0.05640
961,0.03031
962,0.02093
963,0.03742
964,0.03787
967,0.03720
975,0.03808
976,0.02497
977,0.02536
978,0.03855
980,0.02682
985,0.05861
986,0.05335
987,0.02142
989,0.02637
992,0.04265
994,0.02280
995,0.02958
996,0.01927
997,0.04999
998,0.02104
999,0.08639
1000,0.03628
1004,0.03186
1005,0.08401
1006,0.02872
1007,0.09231
1010,0.03855
1011,0.06304
1012,0.01970
1013,0.03098
1014,0.02900
1016,0.05313
1018,0.05270
1019,0.02750
1020,0.03626
1022,0.04239
1023,0.02991
1024,0.03251
1025,0.03219
1029,0.03551
1031,0.04440
1032,0.01978
1033,0.02055
1034,0.03587
1035,0.03281
1036,0.02768
1037,0.03169
1038,0.04084
1039,0.02855
1041,0.01947
1043,0.03533
1049,0.05411
1050,0.06385
1051,0.03904
1052,0.02921
1053,0.02868
1054,0.02557
1056,0.09340
1057,0.03453
1060,0.04965
1061,0.02775
1062,0.01797
1063,0.04287
1064,0.09725
1065,0.01563
1066,0.07687
1068,0.05322
1073,0.03659
1075,0.02482
1079,0.02869
1081,0.05151
1083,0.10606
1085,0.02236
1086,0.02493
1087,0.02329
1088,0.02649
1089,0.04500
1090,0.05243
1091,0.02763
1092,0.03276
1095,0.02019
1098,0.03118
1099,0.02758
1100,0.05174
1101,0.06493
1103,0.06015
1104,0.06353
1106,0.02075
1107,0.03587
1108,0.04503
1109,0.02772
1113,0.04745
1114,0.04549
1116,0.04332
1117,0.03302
1118,0.03838
1119,0.05572
1120,0.03512
1121,0.04398
1122,0.02396
1123,0.05058
1125,0.02441
1126,0.02168
1127,0.01830
1128,0.02612
1129,0.03462
1130,0.04121
1132,0.03197
1133,0.05073
1136,0.01635
1137,0.03966
1140,0.02708
1142,0.04073
1144,0.04653
1145,0.03148
1146,0.03371
1148,0.03117
1150,0.02410
1151,0.01804
1153,0.06596
1154,0.04506
1155,0.03631
1156,0.05419
1157,0.02817
1158,0.04749
1160,0.01605
1161,0.06149
1167,0.03476
1168,0.03065
1170,0.02584
1171,0.04015
1173,0.02622
1174,0.04617
1175,0.02138
1176,0.02604
1177,0.01911
1178,0.04863
1179,0.02145
1180,0.02197
1181,0.03210
1182,0.03463
1183,0.02660
1185,0.05776
1188,0.02787
1189,0.02825
1190,0.06843
1191,0.04259
1192,0.07048
1194,0.02086
1197,0.02632
1198,0.03209
1199,0.06988
1200,0.01864
1203,0.10211
1204,0.05424
1207,0.03351
1208,0.04730
1209,0.02607
1210,0.04604
1211,0.03002
1213,0.03362
1214,0.02272
1215,0.01941
1216,0.06954
1217,0.03203
1218,0.03947
1219,0.02467
1223,0.04988
1225,0.02729
1226,0.03686
1228,0.06129
1229,0.03339
1231,0.08202
1232,0.10502
1233,0.04367
1235,0.04412
1238,0.02202
1239,0.04710
1240,0.06638
1241,0.02571
1242,0.02184
1243,0.02066
1244,0.02957
1246,0.07632
1249,0.04863
1250,0.01560
1252,0.03061
1254,0.02311
1255,0.01651
1256,0.02906
1257,0.01690
1258,0.03542
1259,0.04709
1260,0.04118
1262,0.02624
1263,0.02342
1264,0.02346
1265,0.03599
1266,0.01680
1269,0.03483
1270,0.02961
1271,0.01684
1272,0.05424
1273,0.02197
1274,0.03749
1277,0.02272
1278,0.01824
1281,0.03141
1282,0.05583
1283,0.02374
1284,0.02273
1285,0.06044
1286,0.06973
1289,0.02487
1291,0.01944
1292,0.04296
1293,0.08486
1294,0.04600
1295,0.07129
1297,0.02432
1298,0.04849
1301,0.02932
1304,0.05292
1305,0.03415
1307,0.02701
1308,0.03655
1309,0.07750
1313,0.07576
1314,0.02232
1316,0.04037
1317,0.03189
1318,0.05293
1320,0.01981
1321,0.01265
1322,0.03790
1323,0.02142
1325,0.02065
1330,0.03898
1331,0.03361
1334,0.04836
1337,0.03157
1339,0.03532
1340,0.05933
1341,0.02726
1343,0.04105
1344,0.02233
1347,0.03368
1348,0.03673
1350,0.01634
1351,0.02794
1355,0.02452
1356,0.04426
1357,0.06388
1358,0.02837
1360,0.02647
1363,0.03433
1364,0.02375
1366,0.02674
1367,0.04843
1368,0.05853
1369,0.04097
1370,0.05488
1375,0.02349
1376,0.02293
1378,0.05506
1379,0.03434
1380,0.03061
1384,0.01916
1385,0.02705
